Group_ID,Category
1,Magnesium
2,"Zinc, Zinc Coating"
3,"Cadmium, Beryllium"
4,"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum"
5,Cu-Coated Aluminum
6,"Steels-Carbon, Low Alloy"
7,Lead
8,"Tin, Tin-Lead, Indium"
9,"St. Steels-Martensitic, Ferritic"
10,"Chromium, Molybdenum, Tungsten"
11,"St. Steels-Aust., PH, Super Strength, Heat Resistant"
12,Brass-Lead Bronze
13,"Brass-Low Copper, Bronze-Low Copper"
14,"Brass-High Copper, Bronze-High Copper"
15,"Copper-High Nickel, Monel"
16,"Nickel, Cobalt"
17,Titanium
18,Silver
19,"Palladium, Rhodium, Gold, Platinum"
20,Graphite
