Anode_Alloy,Anode_Table1_Group,Anode_Group_ID,Cathode_Alloy,Cathode_Table1_Group,Cathode_Group_ID,Potential_Difference_V,Environment,Electrolyte_Conductivity_Sm,Cathode_Anode_Area_Ratio,R_p_Anode_Ohm_m2,R_p_Cathode_Ohm_m2,Target_Galvanic_Current_Density,PDF_Compatibility_Status
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.14,Industrial (Acidic Rain),0.1,7.383,1.0,2.0,0.089977,Compatible
Chlorimet 2,"Nickel, Cobalt",16,Nickel (passive),"Nickel, Cobalt",16,0.16,Industrial (Acidic Rain),0.1,0.333,2.0,2.0,0.003785,Compatible
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.04,Marine (Seawater),5.0,0.136,5.0,5.0,0.000527,Compatible
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Cast iron,"Steels-Carbon, Low Alloy",6,0.12,Marine (Seawater),5.0,0.017,0.1,0.3,0.003418,Unfavorable
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.69,Marine (Seawater),5.0,1.188,0.1,2.0,0.393798,Unfavorable
Lead,Lead,7,Graphite,Graphite,20,0.6,Rural (Freshwater),0.01,0.592,0.3,10.0,0.003404,Unfavorable
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.56,Rural (Freshwater),0.01,0.31,0.1,1.0,0.001737,Unfavorable
Magnesium and magnesium alloys,Magnesium,1,Platinum,"Palladium, Rhodium, Gold, Platinum",19,1.82,Industrial (Acidic Rain),0.1,0.671,0.1,10.0,0.062774,Unfavorable
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.95,Marine (Seawater),5.0,0.041,0.1,10.0,0.003905,Unfavorable
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,0.3,Marine (Seawater),5.0,0.853,5.0,1.0,0.039836,Compatible
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,0.3,Rural (Freshwater),0.01,1.004,5.0,1.0,0.002954,Unfavorable
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.4,Industrial (Acidic Rain),0.1,0.096,1.0,10.0,0.001903,Compatible
18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.04,Rural (Freshwater),0.01,0.493,5.0,2.0,0.000179,Compatible
Inconel (active),"Nickel, Cobalt",16,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.27,Rural (Freshwater),0.01,2.867,2.0,5.0,0.00667,Unfavorable
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.38,Industrial (Acidic Rain),0.1,0.821,0.3,1.0,0.027465,Unfavorable
Chlorimet 2,"Nickel, Cobalt",16,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.13,Industrial (Acidic Rain),0.1,4.71,2.0,1.0,0.049164,Compatible
Steel or iron,"Steels-Carbon, Low Alloy",6,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.51,Rural (Freshwater),0.01,1.337,0.3,5.0,0.00655,Unfavorable
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.45,Industrial (Acidic Rain),0.1,20.457,5.0,1.0,0.594415,Unfavorable
Magnesium and magnesium alloys,Magnesium,1,Silver solder,Silver,18,1.46,Marine (Seawater),5.0,1.732,0.1,10.0,0.257879,Unfavorable
Steel or iron,"Steels-Carbon, Low Alloy",6,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.43,Rural (Freshwater),0.01,49.522,0.3,1.0,0.214757,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,Nickel (passive),"Nickel, Cobalt",16,0.49,Rural (Freshwater),0.01,0.295,0.3,2.0,0.001353,Unfavorable
Tin,"Tin, Tin-Lead, Indium",8,Chlorimet 2,"Nickel, Cobalt",16,0.14,Rural (Freshwater),0.01,0.019,0.3,2.0,2.4e-05,Compatible
Tin,"Tin, Tin-Lead, Indium",8,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.24,Marine (Seawater),5.0,0.591,0.3,1.0,0.092548,Unfavorable
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.53,Industrial (Acidic Rain),0.1,2.721,5.0,2.0,0.088459,Unfavorable
"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.03,Rural (Freshwater),0.01,0.287,1.0,1.0,8.4e-05,Compatible
"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.1,Industrial (Acidic Rain),0.1,1.286,1.0,5.0,0.008632,Compatible
Lead,Lead,7,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.63,Industrial (Acidic Rain),0.1,4.798,0.3,10.0,0.143763,Unfavorable
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.49,Rural (Freshwater),0.01,1.972,2.0,10.0,0.009778,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.57,Marine (Seawater),5.0,0.234,0.3,2.0,0.054469,Unfavorable
Magnesium and magnesium alloys,Magnesium,1,Lead,Lead,7,1.13,Industrial (Acidic Rain),0.1,0.26,0.1,0.3,0.026708,Unfavorable
Copper,"Copper-High Nickel, Monel",15,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.05,Industrial (Acidic Rain),0.1,0.228,1.0,1.0,0.000935,Compatible
Cast iron,"Steels-Carbon, Low Alloy",6,Tin,"Tin, Tin-Lead, Indium",8,0.19,Marine (Seawater),5.0,4.342,0.3,0.3,1.050124,Compatible
Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.06,Industrial (Acidic Rain),0.1,2.66,5.0,2.0,0.009572,Unfavorable
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.36,Industrial (Acidic Rain),0.1,0.156,5.0,1.0,0.003519,Compatible
Nickel (active),"Nickel, Cobalt",16,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.17,Rural (Freshwater),0.01,1.955,2.0,1.0,0.0031,Compatible
Cadmium,"Cadmium, Beryllium",3,Silver solder,Silver,18,0.56,Industrial (Acidic Rain),0.1,0.575,0.1,10.0,0.016519,Unfavorable
Lead-tin solders,"Tin, Tin-Lead, Indium",8,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.46,Rural (Freshwater),0.01,0.242,0.3,2.0,0.001071,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.43,Industrial (Acidic Rain),0.1,0.045,0.3,1.0,0.001694,Unfavorable
Lead,Lead,7,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.37,Industrial (Acidic Rain),0.1,2.213,0.3,5.0,0.050849,Compatible
Inconel (active),"Nickel, Cobalt",16,Silver solder,Silver,18,0.21,Rural (Freshwater),0.01,0.302,2.0,10.0,0.000539,Compatible
Magnesium and magnesium alloys,Magnesium,1,Copper,"Copper-High Nickel, Monel",15,1.4,Industrial (Acidic Rain),0.1,0.353,0.1,1.0,0.040394,Unfavorable
Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.02,Industrial (Acidic Rain),0.1,0.648,5.0,5.0,0.000616,Compatible
Lead-tin solders,"Tin, Tin-Lead, Indium",8,Titanium,Titanium,17,0.56,Rural (Freshwater),0.01,0.277,0.3,10.0,0.001315,Unfavorable
Copper,"Copper-High Nickel, Monel",15,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.42,Marine (Seawater),5.0,0.818,1.0,10.0,0.032236,Compatible
Magnesium and magnesium alloys,Magnesium,1,Cadmium,"Cadmium, Beryllium",3,0.9,Rural (Freshwater),0.01,8.423,0.1,0.1,0.074993,Unfavorable
"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,Graphite,Graphite,20,0.25,Industrial (Acidic Rain),0.1,0.546,1.0,10.0,0.006787,Unfavorable
"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.39,Rural (Freshwater),0.01,0.413,1.0,10.0,0.001485,Unfavorable
"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.33,Marine (Seawater),5.0,0.226,1.0,10.0,0.00642,Compatible
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.43,Marine (Seawater),5.0,3.572,5.0,5.0,0.140692,Compatible
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Lead,Lead,7,0.26,Rural (Freshwater),0.01,0.343,0.1,0.3,0.000888,Unfavorable
Lead,Lead,7,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.3,Industrial (Acidic Rain),0.1,0.125,0.3,1.0,0.0033,Unfavorable
Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.13,Marine (Seawater),5.0,3.45,1.0,5.0,0.071475,Unfavorable
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.15,Rural (Freshwater),0.01,27.99,2.0,1.0,0.04309,Compatible
Nickel (passive),"Nickel, Cobalt",16,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.04,Marine (Seawater),5.0,1.07,2.0,5.0,0.005974,Compatible
Nickel (active),"Nickel, Cobalt",16,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.31,Rural (Freshwater),0.01,0.14,2.0,2.0,0.000417,Compatible
Cadmium,"Cadmium, Beryllium",3,Graphite,Graphite,20,0.83,Rural (Freshwater),0.01,0.363,0.1,10.0,0.002611,Unfavorable
Graphite,Graphite,20,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.09,Marine (Seawater),5.0,0.517,10.0,10.0,0.002249,Compatible
Lead,Lead,7,Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,0.24,Marine (Seawater),5.0,22.33,0.3,1.0,3.70764,Unfavorable
"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.05,Industrial (Acidic Rain),0.1,5.482,1.0,5.0,0.016114,Unfavorable
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.48,Marine (Seawater),5.0,1.451,5.0,5.0,0.069219,Compatible
Cast iron,"Steels-Carbon, Low Alloy",6,Steel or iron,"Steels-Carbon, Low Alloy",6,0.0,Rural (Freshwater),0.01,2.137,0.3,0.3,0.0,Compatible
Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.05,Industrial (Acidic Rain),0.1,14.984,1.0,1.0,0.057839,Compatible
Lead,Lead,7,Inconel (active),"Nickel, Cobalt",16,0.12,Industrial (Acidic Rain),0.1,0.356,0.3,2.0,0.003171,Unfavorable
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Copper,"Copper-High Nickel, Monel",15,0.37,Marine (Seawater),5.0,0.346,5.0,1.0,0.020826,Unfavorable
